Degree Plan Name: Computer Science
CSE 110, Principles of Programming with Java, Credit Hours: 3, Complete: false, Prerequisites: 
MAT 265, Calculus for Engineers I, Credit Hours: 3, Complete: false, Prerequisites: 
ENG 101, First-Year Composition I, Credit Hours: 3, Complete: false, Prerequisites: 
ASU 101, The ASU Experience, Credit Hours: 1, Complete: false, Prerequisites: 
FSE 100, Introduction to Engineering, Credit Hours: 2, Complete: false, Prerequisites: 
SBG XXX, Social-Behavioral Sciences (SB) and Global Awareness(G), Credit Hours: 3, Complete: false, Prerequisites: 
CSE 205, Object-Oriented Programming and Data Structures, Credit Hours: 3, Complete: false, Prerequisites:  CSE 110
MAT 266, Calculus for Engineers II, Credit Hours: 3, Complete: false, Prerequisites:  MAT 265
ENG 102, First-Year Composition II, Credit Hours: 3, Complete: false, Prerequisites:  ENG 101
SCI 1XX, Lab Science and Natural Science-Quantitative (SQ), Credit Hours: 4, Complete: false, Prerequisites: 
XXX 1XX, Elective, Credit Hours: 3, Complete: false, Prerequisites: 
CSE 120, Digital Design Fundamentals, Credit Hours: 3, Complete: false, Prerequisites: 
MAT 243, Discrete Mathematical Structures, Credit Hours: 3, Complete: false, Prerequisites:  MAT 265
MAT 267, Calculus for Engineers III, Credit Hours: 3, Complete: false, Prerequisites:  MAT 266
SCI 2XX, Lab Science and Natural Science-General (SG) or Quantitative (SQ), Credit Hours: 4, Complete: false, Prerequisites: 
HUC XXX, Humanities, Arts and Design (HU) and Cultural Diversity in the U.S. (C), Credit Hours: 3, Complete: false, Prerequisites: 
CSE 230, Computer Organization and Assembly Language Programming, Credit Hours: 3, Complete: false, Prerequisites:  CSE 110 CSE 120
CSE 240, Introduction to Programming Languages, Credit Hours: 3, Complete: false, Prerequisites:  CSE 205
MAT 343, Applied Linear Algebra, Credit Hours: 3, Complete: false, Prerequisites:  MAT 266
SCI 3XX, Lab Science and Natural Science-General (SG) or Quantitative (SQ), Credit Hours: 4, Complete: false, Prerequisites: 
HUX XXX, Humanities, Arts and Design (HU), Credit Hours: 3, Complete: false, Prerequisites: 
CSE 310, Data Structures and Algorithms, Credit Hours: 3, Complete: false, Prerequisites:  CSE 240 MAT 243
CSE 301, Computing Ethics, Credit Hours: 1, Complete: false, Prerequisites:  CSE 205
CSE 360, Introduction to Software Engineering, Credit Hours: 3, Complete: false, Prerequisites:  CSE 240
IEE 380, Probability and Statistics for Engineering Problem Solving, Credit Hours: 3, Complete: false, Prerequisites:  MAT 266
SBH XXX, Social-Behavioral Sciences (SB) and Historical Awareness (H), Credit Hours: 3, Complete: false, Prerequisites: 
SBX XXX, Social-Behavioral Sciences (SB), Credit Hours: 3, Complete: false, Prerequisites: 
CSE 340, Principles of Programming Languages, Credit Hours: 3, Complete: false, Prerequisites:  CSE 310 CSE 230
CSE 355, Introduction to Theoretical Computer Science, Credit Hours: 3, Complete: false, Prerequisites:  CSE 310
CSE 4X1, Upper Division CS Elective, Credit Hours: 3, Complete: false, Prerequisites:  CSE 310
TEC 1XX, Upper Division Technical Elective, Credit Hours: 3, Complete: false, Prerequisites:  IEE 380
UHS XXX, Upper-Division Humanities, Arts and Design (HU) or Social-Behavioral Sciences (SB), Credit Hours: 3, Complete: false, Prerequisites: 
CSE 485, Computer Science Capstone I, Credit Hours: 3, Complete: false, Prerequisites:  CSE 430 CSE 340 CSE 355 CSE 360
CSE 430, Operating Systems, Credit Hours: 3, Complete: false, Prerequisites:  CSE 230 CSE 310
CSE 4X2, Upper Division CS Elective, Credit Hours: 3, Complete: false, Prerequisites:  CSE 310
CSE 4X3, Upper Division CS Elective, Credit Hours: 3, Complete: false, Prerequisites:  CSE 310
XXX 2XX, Elective, Credit Hours: 2, Complete: false, Prerequisites: 
CSE 486, Computer Science Capstone II, Credit Hours: 3, Complete: false, Prerequisites:  CSE 485
CSE 4X4, Upper Division CS Elective, Credit Hours: 3, Complete: false, Prerequisites:  CSE 310
CSE 4X5, Upper Division CS Elective, Credit Hours: 3, Complete: false, Prerequisites:  CSE 310
TEC 2XX, Upper Division Technical Elective, Credit Hours: 3, Complete: false, Prerequisites:  IEE 380
